No.,Serial,Elapsed Time
1,23171HFAK6EBV2,4.809207678
2,21171HFAK5TUYT,4.443951845
3,1B151HFAK54BWS,4.735617638
4,29031HFAK8XIAA,5.100490808
5,N/A,4.593587875
6,N/A,2.088667631
7,16231HFAK3GNO6,5.121962547
8,19291HFAK4EGCW,4.813411713
9,1A091HFAK4N44G,5.484403133
10,1A061HFAK4K1LF,4.523080826
11,25211HFAK73T91,3.534841061
12,21061HFAK5PONK,4.938945055
13,25241HFAK75AH4,5.624269247
14,26281HFAK7TY4J,3.828625202
15,25211HFAK73ZT7,4.77139163
16,28271HFAK8TNQ7,4.594121456
17,23071HFAK6AP43,4.68813777
18,28191QUH1003CU,5.062555075
19,24081HFAK6MSK0,4.308813572
20,22071HFAK60ZKR,4.939554453
21,1C181HFAK5IPOV,4.943646908
22,21061HFAK5PIU5,6.097429991
23,16161HFAK3DXIX,4.009874821
24,1A091HFAK4N2YA,4.822434187
25,27161HFAK83MHH,4.768056154
26,23071HFAK6AOYI,4.779674292
27,27081HFAK7Z7TY,5.962672234
28,16161HFAK3DXIX,3.429765701
29,1C181HFAK5IPE7,4.936928272
30,21061HFAK5P47M,4.631053686
31,N/A,4.673816442
32,23081HFAK6B7PJ,5.843376398
33,13031HFAK2QL1S,4.75551033
34,15281HFAK39T5O,4.855764627
35,29011HFAK8WHHG,5.104966879
36,16231HFAK3GJF1,5.878599882
37,27051HFAK7WQ2G,4.550996542
38,25231HFAK74WPL,4.814800501
39,27011HFAK7UU35,4.777802467
40,27131HFAK81LSM,5.485118389
41,26151QUH1008VU,5.19682622
42,1C201HFAK5J8FY,4.610331297
43,27011HFAK7ULG5,4.684360027
44,25181HFAK71US6,4.891819239
45,26271HFAK7RXQK,6.295821428
46,24081HFAK6N1VN,4.830709457
47,23111HFAK6CKP3,4.90084815
48,1B161HFAK54WDJ,4.888920069
49,19281HFAK4ECBD,4.886723757
50,27011HFAK7V402,6.274924994
51,25211HFAK73GF7,4.49837184
52,26251HFAK7RITW,4.624044895
53,29031HFAK8XD44,4.669085741
54,21221HFAK5VQDM,5.730016232
55,25061QUH1000CZ,3.898868799
56,15151HFAK37FHR,4.880147934
57,16161HFAK3DXIX,3.538897991
58,25211HFAK73EUQ,4.607778072
59,25241HFAK75AQ3,3.565410614
60,21211HFAK5VI33,6.322896719
61,1B191HFAK56M2T,4.712917566
62,1A061HFAK4K4G1,4.897957325
63,25231HFAK74J0J,4.74652791
64,N/A,0.8270025253
65,1B171HFAK55A53,5.853014231
66,25061QUH1000CZ,4.153238058
67,21131HFAK5RDDY,4.659367323
68,24081HFAK6MY1D,4.897720814
69,1A061HFAK4KLVE,5.394770622
70,19281HFAK4EC80,5.828796387
71,23071HFAK6AN19,4.648957729
72,25241HFAK7599S,4.547588587
73,15291HFAK3A4MM,4.617733717
74,16161HFAK3DXIX,4.104766607
75,25271HFAK781L8,5.708348751
76,1C211HFAK5JZJ4,4.852699041
77,16231HFAK3GMG6,3.625413895
78,23121HFAK6CXDO,3.64360404
79,28061HFAK8FPOZ,4.899790525
80,1A061HFAK4KLYB,5.670278072
81,16081HFAK3BRT8,4.567055464
82,25061QUH1000CZ,4.606592178
83,N/A,2.015731812
84,N/A,4.847193003
85,N/A,2.370143414
86,24051HFAK6LU9P,5.544656038
87,21211HFAK5VC4H,4.469041348
88,21181HFAK5U5CU,5.177970409
89,1A081HFAK4MCVF,5.0119977
90,29071HFAK8Z9P7,5.907720804
91,24051HFAK6LS4Q,4.932915211
92,25061QUH1000CZ,4.247704268
93,15101HFAK367VU,4.680820465
94,N/A,5.420610189
95,25231HFAK74D6B,4.543642998
96,21061HFAK5PO1W,4.911010027
97,25211HFAK73B17,5.180435419
98,N/A,1.869277954
99,23101HFAK6C90K,4.704572678
100,29051HFAK8Y7FI,6.600541353
101,14071HFAK2ZW9O,4.144371986
102,27011HFAK7V5VD,4.582039118
103,26151QUH1008VU,4.694719076
104,0B101HFAK1VEGT,4.81408906
105,23101HFAK6BV61,4.858574867
106,15291HFAK3A3AG,4.485646248
107,25061QUH1000CZ,4.291303873
108,16231HFAK3GKJN,4.774421215
