Transaction ID,Fixture type,Model,Model #,S/N,image,Real S/N,,,
01AAACNQ,Google Voice Remote,G9N9N,GA01409,28261HFAK8S9XL,,28261HFAK8S9XL,,,
01AAACNP,Google Chromecast,GZRNL,GA01433,29231HFGN31GVE,,29231HFGN31GVE,,,
01AAACNO,Google Voice Remote,G9N9N,GA01409,28191QUH1001Q6,,28191QUH1001Q6,,,
01AAACNN,Google Chromecast,GZRNL,GA01433,27241HFGN1TQH6,,27241HFGN1TQH6,,,
01AAACNM,Google Chromecast,GZRNL,GA01433,29211HFDD7ZK2D,,29211HFDD7ZK2D,,,
01AAACNL,Google Chromecast,GZRNL,GA01433,29081HFGN2TF33,,29081HFGN2TF33,,,
01AAACNK,Google Chromecast,GZRNL,GA01433,27211HFGN1RSDZ,,27211HFGN1RSDZ,,,
01AAACNJ,Google Chromecast,GZRNL,GA01433,29011HFGN2DW6T,,29011HFGN2DW6T,,,
01AAACNI,Google Chromecast,GZRNL,GA01433,27191HFGN16810,,27191HFGN16810,,,
01AAACNH,Google Voice Remote,G9N9N,GA01409,28021HFAK8DG5H,,28021HFAK8DG5H,,,
01AAACNG,Google Chromecast,GZRNL,GA01433,2A031HFGN36L00,,2A031HFGN36L00,,,
01AAACNF,Google Voice Remote,G9N9N,GA01409,25201HFAK72UJ5,,25201HFAK72UJ5,,,
01AAACNE,Google Chromecast,GZRNL,GA01433,25311HFDD6C9Y9,,25311HFDD6C9Y9,,,
01AAACND,Google Voice Remote,G9N9N,GA01409,29161QUH11070I,,29161QUH11070I,,,
01AAACNC,Google Chromecast,GZRNL,GA01433,2A131HFGN3B6KE,,2A131HFGN3B6KE,,,
01AAACNB,Google Voice Remote,G9N9N,GA01409,07231HFAK14JGC,,07231HFAK14JGC,,,
01AAACNA,Google Chromecast,GZRNL,GA01433,2A121HFGN3AXQ3,,2A121HFGN3AXQ3,,,
01AAACM9,Google Voice Remote,G9N9N,GA01409,27181HFAK83ZOY,,27181HFAK83ZOY,,,
